input_length,exact_match,char_edit_dist,token_edit_dist,accept_rate_1
198,0,42,1202,0.148
198,0,10,1202,0.1415
198,1,0,1202,0.1408
198,1,0,1202,0.1408
198,1,0,1202,0.1408
198,1,0,1202,0.1408
198,0,10,1204,0.1387
199,1,0,1201,0.1401
199,0,1367,1207,0.9292
199,0,4,1205,0.1394
199,0,1322,1201,0.8949
200,0,10,1200,0.143
200,0,5040,1200,0.8306
200,0,10,1200,0.143
200,0,10,1200,0.143
200,0,63,1200,0.1523
200,0,1,1201,0.1394
200,0,10,1200,0.143
200,0,1200,1200,0.9893
200,0,10,1200,0.143
200,0,42,1208,0.1394
200,1,0,1200,0.1422
200,0,21,1200,0.1451
200,0,10,1200,0.1422
200,1,0,1200,0.1422
200,1,0,1200,0.1422
200,0,31,1200,0.1451
200,0,10,1200,0.143
200,0,21,1200,0.1451
200,0,1392,1201,0.9056
200,1,0,1200,0.1422
200,1,0,1200,0.1422
200,0,21,1200,0.1451
200,0,21,1200,0.1451
200,0,10,1200,0.143
200,0,10,1200,0.143
200,0,10,1200,0.143
200,1,0,1200,0.1422
200,0,63,1200,0.153
200,0,42,1200,0.1487
200,0,14,1201,0.1444
200,0,10,1200,0.143
200,0,63,1200,0.1515
200,0,21,1200,0.1458
200,0,25,1202,0.1444
223,0,4,1181,0.153
224,1,0,1176,0.158
224,0,3,1180,0.1537
224,1,0,1176,0.1573
227,1,0,1173,0.1608
227,1,0,1173,0.1615
227,1,0,1173,0.1594
227,1,0,1173,0.1608
228,1,0,1172,0.1573
228,1,0,1172,0.1601
228,1,0,1172,0.1594
228,0,4926,1172,0.9049
229,0,12,1175,0.1637
229,0,2,1173,0.1573
229,0,1,1172,0.1608
229,1,0,1171,0.1623
229,0,20,1171,0.163
230,1,0,1170,0.163
230,1,0,1170,0.1637
230,1,0,1170,0.1615
230,1,0,1170,0.1623
230,0,13,1182,0.1551
230,1,0,1170,0.163
230,1,0,1170,0.1637
230,0,6,1176,0.158
231,1,0,1169,0.163
231,1,0,1169,0.163
231,1,0,1169,0.163
231,0,6,1177,0.1551
232,0,10,1168,0.1658
232,1,0,1168,0.1651
232,0,4,1172,0.1615
232,1,0,1168,0.163
232,1,0,1168,0.1644
232,0,1182,1168,0.9564
232,0,10,1168,0.1658
232,1,0,1168,0.1651
232,0,6,1180,0.1508
233,0,3,1170,0.1608
233,0,4,1171,0.163
233,0,1,1169,0.1623
234,0,10,1166,0.1673
234,1,0,1166,0.1665
234,0,691,1166,0.3117
234,1,0,1166,0.1665
234,1,0,1166,0.1651
234,0,10,1166,0.1673
234,1,0,1166,0.163
235,0,2,1167,0.1615
235,1,0,1165,0.1658
235,0,9,1165,0.1708
235,1,0,1165,0.1665
235,1,0,1165,0.1651
235,0,7,1175,0.1587
236,1,0,1164,0.1665
236,1,0,1164,0.1673
236,0,17,1164,0.1687
236,0,3986,1164,0.9199
236,1,0,1164,0.168
236,0,1,1164,0.1637
236,1,0,1164,0.1651
236,0,21,1164,0.1716
236,1,0,1164,0.168
236,0,2,1164,0.1651
236,0,10,1164,0.1687
236,1,0,1164,0.1651
237,1,0,1163,0.168
237,1,0,1163,0.1665
238,1,0,1162,0.1694
238,1,0,1162,0.1694
238,1,0,1162,0.1694
238,0,10,1162,0.1701
