input_length,exact_match,char_edit_dist,token_edit_dist,accept_rate_1,accept_rate_2,accept_rate_3,accept_rate_4,accept_rate_5
194,0,1270,1206,0.8406,0.7003,0.5884,0.3539,0.1699
194,0,1206,1206,0.7377,0.4649,0.3672,0.2271,0.2294
194,0,1268,1206,0.9357,0.8634,0.7881,0.7672,0.6165
194,0,4642,1206,0.8585,0.8784,0.8261,0.808,0.7921
194,0,4459,1206,0.9006,0.8798,0.8096,0.8145,0.7806
194,0,4552,1206,0.8563,0.8462,0.781,0.8231,0.7921
194,0,3918,1206,0.9521,0.7747,0.6886,0.5258,0.5068
194,0,1232,1206,0.1351,0.1373,0.1346,0.1383,0.1355
194,0,1305,1212,0.8485,0.52,0.5218,0.2357,0.2287
194,0,4556,1206,0.8735,0.8598,0.8089,0.8446,0.8079
194,0,4720,1206,0.8585,0.8698,0.8253,0.8374,0.7663
194,0,4563,1206,0.8964,0.8934,0.821,0.8489,0.8072
194,0,1296,1206,0.9149,0.8441,0.7366,0.6662,0.3649
194,0,3776,1211,0.812,0.8526,0.7058,0.707,0.7054
194,0,1294,1206,0.867,0.7861,0.68,0.5895,0.3814
195,0,1267,1206,0.8413,0.7704,0.6858,0.6468,0.4817
195,0,1261,1205,0.8199,0.716,0.6321,0.5265,0.39
195,0,1299,1205,0.8313,0.7783,0.7266,0.6691,0.5892
195,0,1291,1205,0.8978,0.8526,0.7731,0.6655,0.5082
195,0,1267,1205,0.847,0.7954,0.7151,0.6777,0.5369
195,0,1318,1209,0.8899,0.7396,0.5734,0.5029,0.3341
195,0,1273,1209,0.8377,0.7382,0.6807,0.6082,0.4717
196,0,1294,1206,0.8806,0.7961,0.7058,0.6318,0.4523
196,0,4281,1204,0.8878,0.8541,0.7781,0.7808,0.7054
196,0,1284,1207,0.8649,0.7983,0.7402,0.6461,0.5133
196,0,4444,1204,0.8463,0.8569,0.8053,0.7901,0.7792
196,0,4553,1204,0.8427,0.8763,0.8182,0.813,0.8129
196,0,1296,1204,0.8871,0.8147,0.7115,0.6426,0.5118
196,0,1304,1204,0.747,0.485,0.4796,0.2701,0.1276
196,0,3767,1204,0.9207,0.819,0.6478,0.5501,0.5276
196,0,1274,1206,0.842,0.784,0.7037,0.5802,0.3749
196,0,3614,1204,0.9442,0.8097,0.685,0.6948,0.643
196,0,1231,1204,0.8513,0.7403,0.582,0.5351,0.4301
196,0,1272,1206,0.8477,0.7904,0.7402,0.6268,0.4875
196,0,4699,1205,0.8463,0.8219,0.8003,0.8009,0.8509
196,0,3478,1204,0.7856,0.7432,0.6213,0.634,0.6
196,0,4880,1204,0.8256,0.8269,0.7373,0.8087,0.9118
196,0,4739,1204,0.8735,0.877,0.8175,0.8209,0.8093
196,0,1254,1204,0.7462,0.711,0.4903,0.5215,0.3297
196,0,4354,1204,0.8992,0.8913,0.8239,0.841,0.8043
196,0,4880,1204,0.8928,0.9034,0.854,0.8216,0.8186
196,0,4450,1204,0.8928,0.8755,0.8168,0.8345,0.8172
196,0,1306,1204,0.9185,0.8598,0.6757,0.5638,0.3634
197,0,1301,1203,0.857,0.7783,0.7559,0.6261,0.4968
197,0,1263,1203,0.9228,0.8376,0.7258,0.6748,0.6
197,0,1312,1203,0.8535,0.7604,0.6485,0.5566,0.4272
197,0,1298,1203,0.8435,0.7461,0.5834,0.4814,0.4258
197,0,1277,1203,0.8635,0.7883,0.7208,0.6232,0.4817
197,0,1274,1235,0.7856,0.6867,0.5941,0.5208,0.281
197,0,1265,1203,0.8992,0.7825,0.6478,0.591,0.4315
197,0,1278,1204,0.8949,0.8312,0.7788,0.6691,0.4796
197,0,1303,1205,0.9064,0.8126,0.6729,0.5924,0.4545
198,0,4740,1202,0.9685,0.9671,0.8461,0.8352,0.9319
198,0,3407,1202,0.9264,0.8155,0.6292,0.6254,0.5993
198,0,4695,1202,0.8492,0.8441,0.7888,0.7915,0.7892
198,0,4021,1202,0.9321,0.8255,0.7316,0.6139,0.6115
198,0,3650,1202,0.862,0.779,0.7044,0.707,0.6681
198,0,4577,1202,0.8842,0.8712,0.821,0.8453,0.8208
198,0,3483,1202,0.8413,0.9049,0.7552,0.7142,0.7505
198,0,4572,1202,0.8385,0.8841,0.8304,0.8195,0.8229
198,0,3835,1202,0.8756,0.8898,0.7108,0.7249,0.7362
198,0,4896,1202,0.9178,0.8555,0.8218,0.8159,0.9233
198,0,3929,1202,0.9271,0.8376,0.728,0.5996,0.6043
198,0,4074,1202,0.8799,0.8526,0.7731,0.798,0.7462
198,0,4039,1202,0.2809,0.2754,0.2634,0.2672,0.2545
198,0,3612,1202,0.9185,0.9049,0.7244,0.7679,0.7885
198,0,4351,1202,0.8735,0.8591,0.781,0.7958,0.7713
198,0,4358,1202,0.8964,0.8805,0.8082,0.8266,0.7964
198,0,3952,1202,0.9607,0.8233,0.7695,0.5946,0.5878
198,0,4428,1202,0.8863,0.8963,0.8246,0.8431,0.8057
198,0,3513,1202,0.8628,0.7804,0.6915,0.7149,0.6545
198,0,3452,1202,0.832,0.7747,0.685,0.6576,0.6423
198,0,4585,1203,0.9056,0.8662,0.8361,0.8388,0.8108
198,0,4571,1202,0.8906,0.8877,0.8175,0.8467,0.7957
198,0,4578,1202,0.8756,0.8813,0.8332,0.8274,0.7986
198,0,4380,1202,0.8678,0.8441,0.7946,0.8195,0.8036
198,0,3626,1202,0.9485,0.8906,0.6671,0.692,0.6781
198,0,4723,1202,0.862,0.882,0.811,0.8166,0.8143
199,0,1274,1201,0.8599,0.7725,0.6543,0.5731,0.5082
199,0,1290,1201,0.8892,0.8312,0.7552,0.5709,0.3885
199,0,1340,1204,0.9357,0.7296,0.6521,0.5881,0.3799
199,0,1274,1201,0.8442,0.7961,0.6607,0.6619,0.39
200,0,4676,1200,0.9278,0.8512,0.7967,0.8173,0.9018
200,0,4710,1200,0.8756,0.8891,0.8146,0.8381,0.8108
200,0,4559,1200,0.8914,0.887,0.8125,0.8266,0.8014
200,0,3652,1201,0.8928,0.7217,0.6185,0.4907,0.476
200,0,4720,1200,0.8749,0.8856,0.8361,0.8431,0.8265
200,0,1263,1203,0.857,0.7711,0.7173,0.6626,0.5384
200,0,4543,1200,0.8992,0.8848,0.8053,0.841,0.8086
200,0,1288,1200,0.8392,0.779,0.718,0.6483,0.5376
200,0,3156,1200,0.6576,0.8755,0.5333,0.6218,0.7104
200,0,4508,1200,0.8856,0.8848,0.8246,0.8481,0.7907
